CASE	SPEAKER	NORMALIZED_MATCH_POSITION	WORDS_IN_IU	INTONATION	MORPHOLOGY	LEXICAL_RET	MIRRORING	PREC_PAUSE	FOLL_PAUSE	FUNCTION
1	Ivan Dolganov	1	3	Continuing	-л	FALSE	NA	1.5	2.7	COP
2	Ivan Dolganov	1	1	Continuing	-гэ	FALSE	NA	2.7	0.7	PH
3	Ivan Dolganov	1	2	Falling	-л	FALSE	NA	0.3	1.4	COP
4	Ivan Dolganov	1	1	Continuing	-к	TRUE	PARTIAL	0.5	0	PH
5	Ivan Dolganov	1	1	Truncated	-ллэ	TRUE	FULL	0.9	0	PH
6	Ivan Dolganov	1	2	Truncated	-гэлэ	TRUE	FULL	0	0	PH
7	Ivan Dolganov	0	2	Falling	-гэ	TRUE	FULL	0.4	0.8	PH
8	Ivan Dolganov	1	2	Continuing	-й	FALSE	NA	0.5	0.4	COP
9	Ivan Dolganov	1	2	Continuing	NA	TRUE	FULL	0.9	1.4	PH
10	Ivan Dolganov	1	2	Continuing	-ӈи-к	TRUE	PARTIAL	0.6	0.3	PH
11	Grigorij Shalugin	0	5	Continuing	-гэ	TRUE	FULL	0.2	0	PH
12	Grigorij Shalugin	1	4	Falling	-л	FALSE	NA	0	0.5	COP
13	Grigorij Shalugin	0.5	3	Falling	-ну-л	TRUE	PARTIAL	0.3	0.5	PH
14	Grigorij Shalugin	0.666666666666667	4	Falling	-л	FALSE	NA	0	0.8	COP
15	Grigorij Shalugin	1	4	Continuing	-л	FALSE	NA	0	1	COP
16	Grigorij Shalugin	1	2	Falling	-й	FALSE	NA	1.9	1.8	COP
17	Grigorij Shalugin	1	2	Falling	-й	FALSE	NA	1.8	0.6	COP
18	Grigorij Shalugin	1	3	Continuing	-ӈидэ	FALSE	NA	2.3	0	COP
19	Grigorij Shalugin	1	2	Continuing	-ллэ	FALSE	NA	0	0	PH
20	Grigorij Shalugin	0.5	3	Falling	-л	TRUE	FULL	0	0.6	PH
21	Grigorij Shalugin	1	3	Continuing	-лу-кэ	FALSE	NA	0.4	0	COP
22	Grigorij Shalugin	1	1	Continuing	-лэк	TRUE	FULL	0	0	PH
23	Grigorij Shalugin	0.666666666666667	4	Falling	-лэк	FALSE	NA	0	1.9	PH
24	Grigorij Shalugin	1	4	Falling	-л	FALSE	NA	0	1.9	COP
25	Grigorij Shalugin	1	1	Continuing	-ньэ	TRUE	FULL	0	0	PH
26	Grigorij Shalugin	0	3	Continuing	NA	TRUE	PARTIAL	0	0	PH
27	Grigorij Shalugin	1	2	Falling	-л-у-л	FALSE	NA	0	1.5	COP
28	Grigorij Shalugin	1	1	Continuing	-л	TRUE	PARTIAL	0	0	PH
29	Grigorij Shalugin	1	3	Falling	-л	FALSE	NA	0	0.5	COP
30	Grigorij Shalugin	1	2	Continuing	-л-у-м	TRUE	FULL	0.4	0.5	PH
31	Grigorij Shalugin	1	2	Falling	-гэлэ	TRUE	FULL	0.5	0.6	PH
32	Grigorij Shalugin	0.666666666666667	4	Falling	-гэт	FALSE	NA	0	1.5	PH
33	Grigorij Shalugin	0	2	Continuing	-ӈ	FALSE	NA	0	0.7	PH
34	Grigorij Shalugin	1	1	Continuing	-л-мэлэ	TRUE	PARTIAL	0.7	0.8	PH
35	Grigorij Shalugin	1	2	Falling	-й	FALSE	NA	0.2	0	COP
36	Nikolaj Lixachev	1	1	Continuing	-й	FALSE	NA	0	0	COP
37	Nikolaj Lixachev	1	1	Continuing	-лэк	TRUE	FULL	0.8	0.4	PH
38	Nikolaj Lixachev	0	2	Falling	NA	TRUE	FULL	0	0	PH
39	Nikolaj Lixachev	1	1	Truncated	-ну-й	TRUE	PARTIAL	0.8	0	PH
40	Nikolaj Lixachev	1	1	Falling	-к	TRUE	FULL	0.3	2.2	PH
41	Nikolaj Lixachev	1	3	Continuing	-лэк	TRUE	FULL	0.7	0	PH
42	Nikolaj Lixachev	1	2	Falling	-й	FALSE	NA	0	1.4	COP
43	Nikolaj Lixachev	1	1	Continuing	-лэк	TRUE	FULL	0	0	PH
44	Nikolaj Lixachev	1	1	Continuing	-гэлэ	TRUE	FULL	0	0	PH
45	Nikolaj Lixachev	1	2	Continuing	-гэ	TRUE	FULL	0	0	PH
46	Nikolaj Lixachev	1	1	Continuing	NA	TRUE	FULL	0	0	PH
47	Nikolaj Lixachev	1	2	Continuing	-й	TRUE	PARTIAL	0	0.4	PH
48	Nikolaj Lixachev	1	1	Falling	-т-чэ	FALSE	NA	0	1.2	PH
49	Nikolaj Lixachev	1	1	Continuing	NA	TRUE	FULL	0	0	PH
50	Nikolaj Lixachev	0.75	5	Continuing	-л-дьэк	FALSE	NA	0	0	COP
51	Nikolaj Lixachev	1	1	Continuing	-п-ки	TRUE	FULL	0	0.5	PH
52	Nikolaj Lixachev	1	1	Continuing	-й	FALSE	NA	1	0	COP
53	Nikolaj Lixachev	1	3	Falling	-ӈи	TRUE	FULL	0	0	PH
54	Nikolaj Lixachev	1	1	Continuing	-гэт	TRUE	FULL	0.9	0.9	PH
55	Nikolaj Lixachev	1	1	Continuing	-лэк	TRUE	FULL	0.2	0.6	PH
56	Nikolaj Lixachev	0	2	Continuing	NA	TRUE	FULL	0.9	0.6	PH
57	Nikolaj Lixachev	1	2	Continuing	-ӈин	TRUE	FULL	0	0.3	PH
58	Nikolaj Lixachev	1	1	Continuing	-лэк	TRUE	FULL	0	0.2	PH
59	Nikolaj Lixachev	1	1	Continuing	-лэ	TRUE	FULL	0.8	0.3	PH
60	Nikolaj Lixachev	1	2	Continuing	-гэ	FALSE	NA	1	0	PH
61	Nikolaj Lixachev	1	1	Continuing	-гэ	TRUE	FULL	0.5	0.5	PH
62	Nikolaj Lixachev	1	4	Falling	-й	FALSE	NA	0	0.1	COP
63	Nikolaj Lixachev	1	2	Falling	-й	FALSE	NA	0.2	0.3	COP
64	Nikolaj Lixachev	1	4	Falling	-й	FALSE	NA	0.3	0.6	COP
65	Nikolaj Lixachev	1	1	Continuing	-гэ	TRUE	FULL	0	0.6	PH
66	Nikolaj Lixachev	1	1	Continuing	-лэк	TRUE	FULL	0	1.1	PH
67	Nikolaj Lixachev	0	2	Falling	-ги	FALSE	NA	1	0.8	PH
68	Nikolaj Lixachev	1	1	Continuing	-гэт	TRUE	PARTIAL	0	1.9	PH
69	Nikolaj Lixachev	0.5	3	Continuing	-гэ	FALSE	NA	0.8	1.4	PH
70	Nikolaj Lixachev	0	2	Falling	NA	TRUE	FULL	0.5	1	PH
71	Nikolaj Lixachev	1	1	Continuing	-лэк	TRUE	FULL	1	3.9	PH
72	Nikolaj Lixachev	1	1	Continuing	-ну-млэ	TRUE	PARTIAL	0.7	0.7	PH
73	Nikolaj Lixachev	1	1	Continuing	-дэ-йлэ	TRUE	FULL	0.8	0	PH
74	Nikolaj Lixachev	1	2	Falling	-л	FALSE	NA	0.7	0.8	COP
75	Nikolaj Lixachev	1	1	Falling	-ги	TRUE	FULL	0.8	0.5	PH
76	Nikolaj Lixachev	1	1	Continuing	-ги	TRUE	FULL	0	0	PH
77	Nikolaj Lixachev	0	3	Falling	-ги	TRUE	FULL	1.2	0	PH
78	Nikolaj Lixachev	0.5	3	Continuing	NA	TRUE	FULL	1	0	PH
79	Nikolaj Lixachev	1	1	Continuing	-дэ-гэн	FALSE	NA	0	0	PH
80	Nikolaj Lixachev	0.75	5	Falling	NA	TRUE	FULL	0.6	0	PH
81	Nikolaj Lixachev	0.5	3	Falling	-т-и	FALSE	NA	0	0	COP
82	Nikolaj Lixachev	0.666666666666667	4	Continuing	-т-и	FALSE	NA	0	0	COP
83	Nikolaj Lixachev	1	1	Continuing	-т-и	FALSE	NA	0.4	0	COP
84	Nikolaj Lixachev	0	2	Continuing	-гэт	TRUE	FULL	0.6	0	PH
85	Nikolaj Lixachev	0.75	5	Falling	-л-гэлэ	FALSE	NA	0	0	COP
86	Vasilij Shalugin	0	2	Continuing	-дэ-гэн	FALSE	NA	3.9	1.5	PH
87	Vasilij Shalugin	0	4	Falling	NA	TRUE	PARTIAL	1.5	1.9	PH
88	Vasilij Shalugin	1	3	Continuing	-т	FALSE	NA	0.5	0.7	PH
89	Vasilij Shalugin	0	2	Continuing	NA	TRUE	FULL	1.5	1.4	PH
90	Vasilij Shalugin	0	2	Falling	NA	TRUE	FULL	1.4	1.1	PH
91	Vasilij Shalugin	0	2	Continuing	-гэт	TRUE	FULL	1.1	0.6	PH
92	Vasilij Shalugin	1	1	Continuing	-ллэ	TRUE	FULL	0	0	PH
93	Vasilij Shalugin	0	2	Continuing	NA	TRUE	PARTIAL	0.7	0.5	PH
94	Vasilij Shalugin	0.333333333333333	4	Falling	-п-ки	FALSE	NA	0	0	PH
95	Vasilij Shalugin	0.5	3	Continuing	NA	TRUE	PARTIAL	0.3	1.2	PH
96	Vasilij Shalugin	1	3	Continuing	-й-миэ	FALSE	NA	0	0	COP
97	Vasilij Shalugin	1	2	Continuing	-млэ	TRUE	FULL	0.7	0.7	PH
98	Vasilij Shalugin	1	1	Continuing	-ӈ	TRUE	FULL	1	1.2	PH
99	Vasilij Shalugin	1	3	Continuing	-л	FALSE	NA	2.7	0.5	COP
100	Vasilij Shalugin	1	2	Falling	-т-и	FALSE	NA	0	1.9	COP
101	Vasilij Shalugin	0	2	Falling	NA	FALSE	NA	0	0	PH
102	Vasilij Shalugin	1	1	Falling	-л-у-м	FALSE	NA	1	1	COP
103	Vasilij Shalugin	1	1	Continuing	-т	TRUE	FULL	2.2	0	PH
104	Vasilij Shalugin	1	1	Continuing	-м	FALSE	NA	0.3	1.5	PH
105	Vasilij Shalugin	1	1	Continuing	NA	TRUE	FULL	0.5	0	PH
106	Vasilij Shalugin	1	1	Continuing	NA	TRUE	FULL	0	0	PH
107	Vasilij Shalugin	0	2	Continuing	-й-бэн	FALSE	NA	0	0	COP
108	Vasilij Shalugin	0	4	Continuing	-ги	TRUE	FULL	3	1.7	PH
109	Vasilij Shalugin	1	1	Continuing	-ӈоот	FALSE	NA	0.2	0	COP
110	Vasilij Shalugin	1	3	Continuing	-т	TRUE	FULL	0.2	2	PH
111	Vasilij Shalugin	1	1	Continuing	NA	TRUE	PARTIAL	2.7	0	PH
112	Vasilij Shalugin	0.5	3	Continuing	-ӈин	TRUE	FULL	2.3	0.3	PH
113	Vasilij Shalugin	0	2	Continuing	-т-чиили	TRUE	PARTIAL	0.4	1.9	PH
114	Vasilij Shalugin	1	1	Falling	-ну-л-ӈилэ	FALSE	NA	0	0	COP
115	Vasilij Shalugin	1	2	Continuing	-ну-л-ӈилэ	FALSE	NA	0.2	0	COP
116	Vasilij Shalugin	1	2	Continuing	-ну-л-ӈи	TRUE	PARTIAL	0.9	0	PH
117	Vasilij Shalugin	1	2	Continuing	-гэлэ	TRUE	FULL	1.8	0	PH
118	Vasilij Shalugin	1	1	Falling	-т	FALSE	NA	1.3	0	PH
119	Vasilij Shalugin	1	3	Continuing	-ну-л	FALSE	NA	0.9	0	COP
120	Vasilij Shalugin	0	2	Falling	-ллэ	FALSE	NA	1.5	0	COP
121	Vasilij Shalugin	0	4	Continuing	-т-чиили	FALSE	NA	0	0	COP
122	Vasilij Shalugin	1	2	Falling	-л-ӈи	FALSE	NA	1.8	5	COP
123	Vasilij Shalugin	1	1	Continuing	-й	FALSE	NA	1	0.3	COP
124	Vasilij Shalugin	1	1	Continuing	NA	TRUE	PARTIAL	2.3	0	PH
125	Vasilij Shalugin	0.571428571428571	8	Falling	-т	FALSE	NA	0	1.6	COP
126	Vasilij Shalugin	1	1	Continuing	-гэ	FALSE	NA	0.5	0.4	PH
127	Vasilij Shalugin	1	1	Continuing	-ну-л	FALSE	NA	0.4	2.1	COP
128	Vasilij Shalugin	0.5	3	Continuing	-ги	TRUE	PARTIAL	1.5	0.8	PH
129	Vasilij Shalugin	1	1	Continuing	-й-бэд-эк	FALSE	NA	0.4	0.5	COP
130	Vasilij Shalugin	1	4	Falling	-дэ-гэ	TRUE	FULL	0.8	0.8	PH
131	Vasilij Shalugin	1	1	Truncated	-ӈидэ	FALSE	NA	0	1.1	PH
132	Vasilij Shalugin	1	1	Truncated	-й	FALSE	NA	1.1	0.5	PH
133	Vasilij Shalugin	1	1	Continuing	-гэлэ	TRUE	FULL	0.5	4.9	PH
134	Vasilij Shalugin	1	2	Continuing	-гэлэ	TRUE	FULL	4.9	0.3	PH
135	Vasilij Shalugin	1	2	Continuing	-лэ	TRUE	FULL	1.3	0.4	PH
136	Vasilij Shalugin	1	2	Continuing	-ллэ	FALSE	NA	0.5	1.1	PH
137	Vasilij Shalugin	1	2	Continuing	-п-тэ-йлэ	FALSE	NA	0.4	1.1	PH
138	Vasilij Shalugin	0.666666666666667	4	Falling	-т-у-л	FALSE	NA	1.4	4.4	COP
139	Vasilij Shalugin	1	5	Falling	-т-и	FALSE	NA	4.4	1	COP
140	Vasilij Shalugin	1	1	Continuing	-гэ	TRUE	FULL	0.1	0	PH
141	Vasilij Shalugin	1	4	Continuing	-л-ӈи	FALSE	NA	0.5	3.1	COP
142	Vasilij Shalugin	1	3	Continuing	-л-ӈи	TRUE	FULL	3.1	0.9	PH
143	Vasilij Shalugin	0	2	Continuing	-ллэ	TRUE	PARTIAL	0	0.9	PH
144	Vasilij Shalugin	1	3	Continuing	-й	TRUE	PARTIAL	0.9	0.7	PH
145	Vasilij Shalugin	1	2	Continuing	NA	TRUE	FULL	2.2	0	PH
146	Vasilij Shalugin	1	1	Continuing	-лэк	FALSE	NA	0.3	4.4	PH
147	Vasilij Shalugin	1	2	Continuing	-дэ-гэт	FALSE	NA	1.9	0.7	PH
148	Vasilij Shalugin	1	3	Continuing	-л	TRUE	PARTIAL	0	1.4	PH
149	Vasilij Shalugin	1	2	Falling	-гэ-н	TRUE	PARTIAL	1	0.6	PH
150	Vasilij Shalugin	1	2	Falling	-л	FALSE	NA	1	1.5	COP
151	Vasilij Shalugin	1	3	Falling	-дэ-йнэ	FALSE	NA	1.5	1.6	COP
152	Vasilij Shalugin	1	5	Continuing	-ӈин	TRUE	FULL	0.3	0	PH
153	Vasilij Shalugin	1	2	Falling	-дэ-йнэ	FALSE	NA	0.8	0	COP
154	Vasilij Shalugin	0.5	3	Falling	-т	FALSE	NA	1.1	1.3	COP
155	Vasilij Shalugin	1	1	Continuing	NA	TRUE	PARTIAL	0	0.8	PH
156	Vasilij Shalugin	1	1	Continuing	NA	TRUE	PARTIAL	0.8	0	PH
157	Vasilij Shalugin	1	1	Continuing	-ӈи	TRUE	PARTIAL	0	0	PH
158	Vasilij Shalugin	1	3	Continuing	-л	FALSE	NA	1.5	0	COP
159	Vasilij Shalugin	0.5	3	Falling	-л	FALSE	NA	0.3	0	COP
160	Vasilij Shalugin	1	2	Falling	-п-лэк	FALSE	NA	1.1	1.3	PH
161	Vasilij Shalugin	1	2	Continuing	-ну-л	FALSE	NA	2.4	0.8	COP
162	Vasilij Shalugin	1	1	Continuing	-гэ	TRUE	FULL	0	0	PH
163	Vasilij Shalugin	1	1	Continuing	-гэн	TRUE	FULL	0	0	PH
164	Vasilij Shalugin	0.333333333333333	4	Falling	-гэ	FALSE	NA	0	0	PH
165	Vasilij Shalugin	1	1	Continuing	-гэ	FALSE	NA	0	0	PH
166	Vasilij Shalugin	1	1	Continuing	NA	TRUE	FULL	0	0.5	PH
167	Vasilij Shalugin	1	2	Falling	-п-лэк	TRUE	FULL	1	0	PH
168	Vasilij Shalugin	1	2	Continuing	-л-ӈи	FALSE	NA	0	0	COP
169	Vasilij Shalugin	1	4	Falling	-д-оо-ги	FALSE	NA	0	0	COP
170	Vasilij Shalugin	1	2	Continuing	-л	FALSE	NA	0.5	0	COP
171	Vasilij Shalugin	1	1	Continuing	NA	TRUE	FULL	1	0	PH
172	Vasilij Shalugin	1	2	Falling	-гэ	TRUE	PARTIAL	1.6	0	PH
173	Vasilij Shalugin	1	1	Continuing	-л	FALSE	NA	0.4	0	COP
174	Vasilij Shalugin	1	1	Continuing	-дэ-гэ	FALSE	NA	0	0	COP
175	Vasilij Shalugin	0	2	Continuing	-т	FALSE	NA	0.3	0	COP
176	Vasilij Shalugin	1	1	Continuing	NA	TRUE	PARTIAL	1.5	0	PH
177	Vasilij Shalugin	1	3	Falling	NA	TRUE	FULL	0.6	0	PH
178	Vasilij Shalugin	1	2	Continuing	-пул	FALSE	NA	0.4	0	PH
179	Vasilij Shalugin	1	1	Falling	-йэ	FALSE	NA	2.7	0	COP
180	Vasilij Shalugin	0.5	3	Falling	-т-у-м	FALSE	NA	0.4	0	COP
181	Vasilij Shalugin	1	4	Continuing	NA	TRUE	FULL	1.7	0	PH
182	Vasilij Shalugin	1	1	Continuing	-т	FALSE	NA	1.4	0	COP
183	Vasilij Shalugin	1	1	Continuing	-к	TRUE	FULL	0	0	PH
184	Vasilij Shalugin	1	1	Continuing	-ӈи	TRUE	PARTIAL	1.6	0	PH
185	Vasilij Shalugin	0.75	5	Falling	-гэ	TRUE	FULL	1.3	0	PH
186	Vasilij Shalugin	1	3	Continuing	-л-дьэ	FALSE	NA	0	0	COP
187	Vasilij Shalugin	1	2	Continuing	-й-бэн	FALSE	NA	1.6	0	COP
188	Vasilij Shalugin	1	1	Continuing	-л-у-л	FALSE	NA	0.2	0	COP
189	Vasilij Shalugin	1	2	Continuing	-л-ӈаа	FALSE	NA	0.7	0.9	COP
190	Vasilij Shalugin	1	3	Continuing	-ну-л	FALSE	NA	0	0.5	COP
191	Vasilij Shalugin	1	1	Continuing	-лэк	TRUE	FULL	0	0.5	PH
192	Vasilij Shalugin	1	2	Continuing	-гэ	TRUE	PARTIAL	0	0.8	PH
193	Vasilij Shalugin	0.4	6	Continuing	-пул	TRUE	PARTIAL	1.5	0.7	PH
194	Vasilij Shalugin	1	1	Continuing	-лу-гэ	FALSE	NA	1.7	0	COP
195	Vasilij Shalugin	1	1	Falling	-т	TRUE	FULL	0	1.4	PH
196	Vasilij Shalugin	1	2	Continuing	NA	TRUE	PARTIAL	0.9	0	PH
197	Vasilij Shalugin	1	1	Falling	-ну-л-мэлэ	TRUE	PARTIAL	0	1	PH
198	Vasilij Shalugin	1	4	Falling	NA	TRUE	FULL	1.2	1	PH
199	Vasilij Shalugin	0	3	Falling	-ну-л-у-м	TRUE	PARTIAL	2.2	0	PH
200	Vasilij Shalugin	1	1	Continuing	NA	TRUE	FULL	1.9	0	PH
201	Vasilij Shalugin	1	2	Continuing	-ну-л	TRUE	PARTIAL	1.6	0	PH
202	Vasilij Shalugin	1	1	Continuing	-гэт	TRUE	FULL	0.3	2.7	PH
203	Vasilij Shalugin	1	1	Falling	-ну-л-ӈи	TRUE	FULL	0.9	1.1	PH
204	Vasilij Shalugin	1	1	Continuing	-гэлэ	TRUE	FULL	2.6	0	PH
205	Vasilij Shalugin	0	3	Continuing	-ги	TRUE	FULL	1.1	0.5	PH
206	Vasilij Shalugin	1	1	Continuing	NA	TRUE	PARTIAL	2	1.8	PH
207	Vasilij Shalugin	1	3	Continuing	-пул	FALSE	NA	0.6	0.5	PH
208	Vasilij Shalugin	1	3	Continuing	-ӈин	TRUE	FULL	1.2	0	PH
209	Vasilij Shalugin	1	1	Continuing	-т	FALSE	NA	1.2	0.9	PH
210	Vasilij Shalugin	1	3	Continuing	-ӈоот	FALSE	NA	0.6	0.8	COP
211	Vasilij Shalugin	1	1	Falling	-ну-л-у-м	TRUE	PARTIAL	2.8	0.7	PH
212	Vasilij Shalugin	1	1	Continuing	-гэ	TRUE	FULL	2.3	1.1	PH
213	Vasilij Shalugin	1	1	Continuing	--дэллэ	FALSE	NA	0.8	0	COP
214	Vasilij Shalugin	1	1	Continuing	-гэ	FALSE	NA	1.5	2.2	PH
215	Vasilij Shalugin	1	1	Continuing	NA	FALSE	NA	0.3	0.6	PH
216	Vasilij Shalugin	1	5	Falling	-й	FALSE	NA	0	0.9	COP
217	Vasilij Shalugin	0	3	Falling	NA	TRUE	PARTIAL	0	0	PH
218	Vasilij Shalugin	1	2	Continuing	NA	TRUE	FULL	1.3	0.9	PH
219	Vasilij Shalugin	1	1	Continuing	-ӈоот	FALSE	NA	2.5	3.7	PH
220	Vasilij Shalugin	1	1	Continuing	-гэн	FALSE	NA	0	0.2	PH
221	Vasilij Shalugin	1	3	Continuing	NA	TRUE	PARTIAL	0.7	0.5	PH
222	Vasilij Shalugin	1	3	Continuing	NA	TRUE	FULL	1.9	1.6	PH
223	Vasilij Shalugin	1	1	Continuing	-лэ	TRUE	FULL	0.8	1.8	PH
224	Vasilij Shalugin	1	1	Continuing	-йэ	TRUE	PARTIAL	0.5	1.3	PH
225	Vasilij Shalugin	1	4	Falling	-й	FALSE	NA	1	0	COP
